id,created_at,s_no,invoice_no,customer,country,product,quantity,amount_usd,amount_omr,status,date,payment_method,shipping_method,sNo,invoiceNo,amountUSD,amountOMR,indentDate
"ORD-1772217326700-44c0j","2026-02-27T18:35:27.611481+00:00","null","AI-708","Ferozsons","-","Esomeprazole 22.5%","6500","185250","0","Existing Orders","2026-02-27","LC at Sight","By Sea","null","AI-708","185250","0","undefined"
"ORD-1772217326700-ggoys","2026-02-27T18:35:27.842547+00:00","null","AI-640","Ferozsons","-","Dexlansoprazole 22.5%","2200","121000","0","Existing Orders","2026-02-27","LC at Sight","By Sea","null","AI-640","121000","0","undefined"
"ORD-1772217326700-s4ad3","2026-02-27T18:35:28.062184+00:00","null","AI-136","Amson","-","Omeprazole 8.5%","1000","12500","0","Existing Orders","2026-02-27","LC at Sight","By Sea","null","AI-136","12500","0","undefined"
"ORD-1772294612415-go8i8","2026-02-28T16:03:34.038526+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","Diclofenac Sodium SR Pellets 50mg & Vitamins – B1,B6, & B12","250","4750","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","4750","0","undefined"
"ORD-1772294612415-je22o","2026-02-28T16:03:34.865229+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","Tamsulosine HCL SR Pellets 0.4 mg + Dutasteride IR Pellets 0.5mg","250","13500","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","13500","0","undefined"
"ORD-1772294612415-xdut8","2026-02-28T16:03:35.258067+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","Dex lansoprazole Pellets 22.5%","250","14500","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","14500","0","undefined"
"ORD-1772294612415-z4nbw","2026-02-28T16:03:35.642917+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","D3 Vitamin 10k iu","200","3000","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","3000","0","undefined"
"ORD-1772294612415-sr24g","2026-02-28T16:03:36.121411+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","D3 Vitamin 25k iu","200","3600","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","3600","0","undefined"
"ORD-1772294612415-8hy3u","2026-02-28T16:03:36.503673+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","D3 Vitamin 50k","200","4400","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","4400","0","undefined"
"ORD-1772294612415-m83ko","2026-02-28T16:03:36.885013+00:00","null","AWP/INV-56-25","UBSA Pharmaceutical Industries","-","Mebeverine HCl SR pellets 80.0%","200","14000","0","Pending","31.12.2025","LC at Sight","By Sea","null","AWP/INV-56-25","14000","0","undefined"
"ORD-1772294677030","2026-02-28T16:05:37.286687+00:00","null","AWP/INV-56-26","UBSA ","Lebanon ","Esomeprazole ec 8.5%","2000","12000","0","Existing Orders","2026-02-28","TT in Advance","FOB","null","AWP/INV-56-26","12000","0","undefined"
"ORD-1772217326700-8q3sk","2026-02-27T18:35:26.929012+00:00","null","AWP/INV-02-26","Ferozsons","-","Omeprazole 8.5%","4500","31000","0","Going to Dispatch","2026-02-27","LC at Sight","By Sea","null","AWP/INV-02-26","31000","0","undefined"
"ORD-1772217326700-d900g","2026-02-27T18:35:27.174461+00:00","null","AWP/INV-02-26","Ferozsons","-","Omeprazole 12.5%","2000","20000","0","Going to Dispatch","2026-02-27","LC at Sight","By Sea","null","AWP/INV-02-26","20000","0","undefined"